Id,Label,timeset,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree
66,45thSpaceWing,,6,0.002649,3,0.376202,0.397495,3326.523522,22,113,135
67,StarTrek,,2,0.000193,3,0.373335,0.395619,2569.87948,4,137,141
68,StationCDRKelly,,2,0.002692,3,0.385045,0.415935,10976.440563,37,243,280
69,exploreplanets,,5,0.002487,3,0.451546,0.499459,15782.927089,26,554,580
70,NASAMars,,4,0.002556,4,0.390117,0.419719,3123.263149,29,183,212
71,NOAA,,6,0.002678,5,0.292686,0.311084,1777.041495,24,69,93
72,TheRealStanLee,,2,0.000196,4,0.27604,0.297231,3661.178176,6,107,113
73,JAXA_en,,4,0.002524,3,0.3638,0.378323,1044.054965,25,49,74
74,Astro_Suni,,4,0.002652,4,0.373442,0.398369,1661.795087,23,108,131
75,GeorgeTakei,,2,0.000196,3,0.361418,0.3905,8574.500186,7,288,295
76,Commercial_Crew,,4,0.002733,3,0.397905,0.42382,2149.001283,31,147,178
77,Jon_Favreau,,2,0.000198,3,0.341498,0.350502,2706.749516,3,82,85
78,Nanoracks,,3,0.002414,3,0.459381,0.491638,8648.428782,19,332,351
79,NASA_Johnson,,4,0.004154,3,0.394491,0.420132,5888.2235,56,146,202
80,NatGeo,,1,0.002688,4,0.305193,0.319566,1162.055215,27,26,53
81,elonmusk,,2,0.003268,3,0.377475,0.395937,10097.159117,60,65,125
82,BillNye,,5,0.002702,3,0.35941,0.375016,3627.730327,29,85,114
83,Tesla,,2,0.002447,3,0.342928,0.349739,1028.070226,15,38,53
84,esa,,0,0.003015,3,0.431227,0.481241,32066.709583,52,541,593
85,MarsCuriosity,,4,0.002849,4,0.391779,0.420705,5402.734824,42,170,212
86,SpaceFoundation,,3,0.002501,3,0.476806,0.506995,11660.426903,22,365,387
87,csf_spaceflight,,3,0.002305,3,0.487447,0.516597,7146.598505,14,396,410
88,NASA_Lunar,,1,0.002348,3,0.401594,0.431292,3535.505432,14,204,218
89,NASAMoon,,4,0.002583,4,0.370381,0.398735,2259.34113,24,171,195
90,NASAAmes,,1,0.002747,3,0.433833,0.474215,14283.070386,36,394,430
91,NASAJPL,,4,0.003701,3,0.408892,0.444232,15666.596217,48,291,339
92,NASA_Astronauts,,4,0.003891,3,0.406893,0.435553,6756.878006,51,186,237
93,NASA,,4,0.006057,4,0.398328,0.430036,33169.351668,83,215,298
94,NASAKennedy,,4,0.003435,3,0.398207,0.427572,6104.13263,56,201,257
95,neiltyson,,2,0.003188,4,0.321812,0.343619,3793.179132,39,29,68
96,glxp,,1,0.002324,3,0.461362,0.531731,24698.432956,14,938,952
97,US_SpaceCom,,6,0.002543,0,0,0,0,16,0,16
98,SpaceNews_mil,,6,0.002338,0,0,0,0,14,0,14
99,SecretaryRoss,,6,0.000196,0,0,0,0,4,0,4
100,KenDilanianNBC,,6,0.000188,0,0,0,0,2,0,2
101,capitalweather,,6,0.000191,0,0,0,0,4,0,4
102,euroconsultEC,,7,0.002292,0,0,0,0,15,0,15
103,business,,3,0.000189,0,0,0,0,5,0,5
104,MarineTraffic,,7,0.000188,0,0,0,0,3,0,3
105,60Minutes,,2,0.00019,0,0,0,0,5,0,5
106,gbrumfiel,,0,0.000188,0,0,0,0,2,0,2
107,martyn_williams,,7,0.000188,0,0,0,0,3,0,3
108,mattfellowship,,3,0.000192,0,0,0,0,4,0,4
109,ArianeDB,,0,0.000188,0,0,0,0,2,0,2
110,halhod,,0,0.000188,0,0,0,0,2,0,2
111,WBG_Cities,,0,0.000188,0,0,0,0,2,0,2
112,hrw,,2,0.000188,0,0,0,0,2,0,2
113,BBCWorld,,4,0.002257,0,0,0,0,11,0,11
114,astro_duque,,4,0.000191,0,0,0,0,4,0,4
115,BBCBreaking,,2,0.000196,0,0,0,0,7,0,7
116,johnthornhillft,,7,0.000188,0,0,0,0,2,0,2
117,AllenInstitute,,1,0.000188,0,0,0,0,3,0,3
118,VulcanInc,,3,0.000188,0,0,0,0,2,0,2
119,F1,,0,0.000193,0,0,0,0,2,0,2
120,Sandra_I_Erwin,,6,0.000195,0,0,0,0,10,0,10
121,arstechnica,,2,0.002603,0,0,0,0,15,0,15
122,NPR,,2,0.002318,0,0,0,0,13,0,13
123,qz,,5,0.000189,0,0,0,0,4,0,4
124,Peter_J_Beck,,4,0.000193,0,0,0,0,9,0,9
125,EU_Commission,,0,0.00019,0,0,0,0,6,0,6
126,ESA_de,,0,0.000192,0,0,0,0,8,0,8
127,DLR_de,,0,0.002254,0,0,0,0,13,0,13
128,AschbacherJosef,,0,0.000189,0,0,0,0,4,0,4
129,thesheetztweetz,,3,0.002279,0,0,0,0,13,0,13
130,ScolesSarah,,0,0.000188,0,0,0,0,2,0,2
131,NatGeoMag,,1,0.000197,0,0,0,0,6,0,6
132,vectorlaunch,,3,0.000189,0,0,0,0,5,0,5
133,AgnieszkaSpace,,6,0.000188,0,0,0,0,2,0,2
134,LeoLabs_Space,,3,0.000188,0,0,0,0,2,0,2
135,YAN0,,7,0.000188,0,0,0,0,2,0,2
136,jasontreat,,1,0.000195,0,0,0,0,2,0,2
137,genscape,,7,0.000188,0,0,0,0,2,0,2
138,TankerTrackers,,7,0.000188,0,0,0,0,2,0,2
139,owensfellowship,,4,0.000193,0,0,0,0,7,0,7
140,medialab,,3,0.000189,0,0,0,0,4,0,4
141,Interior,,6,0.0002,0,0,0,0,10,0,10
142,hankgreen,,5,0.000189,0,0,0,0,3,0,3
143,USGSVolcanoes,,6,0.00019,0,0,0,0,2,0,2
144,mikamckinnon,,5,0.00019,0,0,0,0,7,0,7
145,laurahelmuth,,0,0.000188,0,0,0,0,2,0,2
146,TrajectoryMag,,0,0.000188,0,0,0,0,3,0,3
147,gatesfoundation,,1,0.000189,0,0,0,0,5,0,5
148,CHenry_SN,,7,0.002336,0,0,0,0,16,0,16
149,18F,,0,0.000188,0,0,0,0,2,0,2
150,GregAveryDenBiz,,7,0.000188,0,0,0,0,2,0,2
151,rocketrepreneur,,3,0.000191,0,0,0,0,10,0,10
152,AirbusDefence,,3,0.000192,0,0,0,0,10,0,10
153,alexwitze,,5,0.000189,0,0,0,0,5,0,5
154,Annaleen,,5,0.000188,0,0,0,0,2,0,2
155,NASAViz,,4,0.002275,0,0,0,0,11,0,11
156,Dr_ThomasZ,,4,0.002596,0,0,0,0,21,0,21
157,LauraForczyk,,3,0.000191,0,0,0,0,10,0,10
158,tanyaofmars,,0,0.00221,0,0,0,0,12,0,12
159,philewing,,6,0.000189,0,0,0,0,4,0,4
160,magmatist,,5,0.000188,0,0,0,0,2,0,2
161,DavidBrin,,1,0.000189,0,0,0,0,4,0,4
162,DownHereOnEarth,,5,0.000188,0,0,0,0,4,0,4
163,AGUPlanetary,,5,0.00019,0,0,0,0,5,0,5
164,sallycjohnson,,7,0.000188,0,0,0,0,2,0,2
165,corginaut,,5,0.000188,0,0,0,0,2,0,2
166,DefTechPat,,7,0.000188,0,0,0,0,3,0,3
167,earlkman,,1,0.000188,0,0,0,0,2,0,2
168,SimonCocking,,7,0.000188,0,0,0,0,2,0,2
169,NASA_ICE,,0,0.002411,0,0,0,0,16,0,16
170,ObamaWhiteHouse,,5,0.002543,0,0,0,0,16,0,16
171,spacegovuk,,7,0.002388,0,0,0,0,19,0,19
172,QuarkSpin,,4,0.000189,0,0,0,0,5,0,5
173,nature,,5,0.000192,0,0,0,0,6,0,6
174,NewsfromScience,,4,0.000192,0,0,0,0,8,0,8
175,WIREDScience,,0,0.002358,0,0,0,0,21,0,21
176,ScienceMagazine,,0,0.002202,0,0,0,0,12,0,12
177,PopSci,,0,0.002419,0,0,0,0,20,0,20
178,nprscience,,4,0.000192,0,0,0,0,5,0,5
179,TheMapAddict,,6,0.000188,0,0,0,0,3,0,3
180,washingtonpost,,6,0.002542,0,0,0,0,24,0,24
181,SumnerScience,,5,0.000188,0,0,0,0,2,0,2
182,MappingGIS,,0,0.000188,0,0,0,0,2,0,2
183,hardgrove,,5,0.000189,0,0,0,0,3,0,3
