Id,Label,timeset,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,clustering
59,PeterDiamandis,,1,0.00227,3,0.380876,0.417875,8518.312285,12,348,360,0.006599
60,usairforce,,6,0.002713,3,0.379828,0.419592,12425.532759,22,394,416,0.010788
61,ISS_Research,,4,0.003043,3,0.410236,0.440735,4505.272466,36,215,251,0.060079
62,Astro_Doug,,4,0.002994,3,0.34587,0.353745,689.980655,29,36,65,0.215584
63,Astro_illini,,4,0.002714,3,0.342502,0.347418,235.182168,25,11,36,0.401075
64,csa_asc,,0,0.002736,3,0.44435,0.497425,22650.580015,31,616,647,0.01226
65,casciencecenter,,1,0.000196,3,0.404163,0.445123,5312.586326,8,380,388,0.011141
66,45thSpaceWing,,6,0.002649,3,0.376202,0.397495,3326.523522,22,113,135,0.056129
67,StarTrek,,2,0.000193,3,0.373335,0.395619,2569.87948,4,137,141,0.015066
68,StationCDRKelly,,2,0.002692,3,0.385045,0.415935,10976.440563,37,243,280,0.028118
69,exploreplanets,,5,0.002487,3,0.451546,0.499459,15782.927089,26,554,580,0.014128
70,NASAMars,,4,0.002556,4,0.390117,0.419719,3123.263149,29,183,212,0.056444
71,NOAA,,6,0.002678,5,0.292686,0.311084,1777.041495,24,69,93,0.068987
72,TheRealStanLee,,2,0.000196,4,0.27604,0.297231,3661.178176,6,107,113,0.010401
73,JAXA_en,,4,0.002524,3,0.3638,0.378323,1044.054965,25,49,74,0.158894
74,Astro_Suni,,4,0.002652,4,0.373442,0.398369,1661.795087,23,108,131,0.092493
75,GeorgeTakei,,2,0.000196,3,0.361418,0.3905,8574.500186,7,288,295,0.005272
76,Commercial_Crew,,4,0.002733,3,0.397905,0.42382,2149.001283,31,147,178,0.09399
77,Jon_Favreau,,2,0.000198,3,0.341498,0.350502,2706.749516,3,82,85,0.006318
78,Nanoracks,,3,0.002414,3,0.459381,0.491638,8648.428782,19,332,351,0.019097
79,NASA_Johnson,,4,0.004154,3,0.394491,0.420132,5888.2235,56,146,202,0.091743
80,NatGeo,,1,0.002688,4,0.305193,0.319566,1162.055215,27,26,53,0.147436
81,elonmusk,,2,0.003268,3,0.377475,0.395937,10097.159117,60,65,125,0.091261
82,BillNye,,5,0.002702,3,0.35941,0.375016,3627.730327,29,85,114,0.064209
83,Tesla,,2,0.002447,3,0.342928,0.349739,1028.070226,15,38,53,0.060592
84,esa,,0,0.003015,3,0.431227,0.481241,32066.709583,52,541,593,0.016291
85,MarsCuriosity,,4,0.002849,4,0.391779,0.420705,5402.734824,42,170,212,0.063753
86,SpaceFoundation,,3,0.002501,3,0.476806,0.506995,11660.426903,22,365,387,0.02294
87,csf_spaceflight,,3,0.002305,3,0.487447,0.516597,7146.598505,14,396,410,0.018618
88,NASA_Lunar,,1,0.002348,3,0.401594,0.431292,3535.505432,14,204,218,0.032058
89,NASAMoon,,4,0.002583,4,0.370381,0.398735,2259.34113,24,171,195,0.055463
