Id,Label,timeset,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,clustering
0,SpaceX,,4,0.004831,2,0.504621,0.509157,141906.271951,81,96,177,0.197149
1,planetlabs,,0,0.002304,3,0.448609,0.511605,20159.019372,12,783,795,0.003869
2,Aki_Hoshide,,4,0.000202,3,0.358427,0.374253,384.963682,10,93,103,0.080627
3,astro_kimbrough,,4,0.002538,3,0.343243,0.348468,171.877077,18,11,29,0.46558
4,Astro_Megan,,4,0.002456,3,0.349025,0.357529,51.929333,11,27,38,0.342529
5,Thom_astro,,4,0.002868,3,0.377339,0.39972,2769.775104,23,127,150,0.065582
6,Astro_SEAL,,4,0.002569,3,0.344438,0.350407,179.411182,15,15,30,0.432806
7,Axiom_Space,,3,0.000196,3,0.408128,0.438319,2066.374649,9,210,219,0.034371
8,MissionToPsyche,,5,0.000195,3,0.395235,0.423916,1230.619535,6,193,199,0.038833
9,SpaceAdventures,,1,0.000194,3,0.376851,0.406079,2709.204098,6,236,242,0.009048
10,boringcompany,,2,0.000209,3,0.337823,0.340296,19.012737,7,5,12,0.569444
11,Teslarati,,2,0.000203,3,0.35019,0.359691,583.013764,5,36,41,0.044097
12,ViasatInc,,7,0.000195,3,0.447919,0.493419,11359.363447,7,506,513,0.00389
13,WilliamShatner,,2,0.0002,3,0.361268,0.382678,7123.985694,10,168,178,0.012479
14,Thales_Alenia_S,,0,0.002362,3,0.46039,0.500954,10189.017149,15,466,481,0.012651
15,Telesat,,7,0.000193,3,0.350612,0.359564,161.371028,4,25,29,0.085979
16,rSpaceX,,2,0.000194,3,0.491468,0.507186,3332.608335,5,204,209,0.050927
17,MDA_maxar,,0,0.000195,3,0.503023,0.548614,13190.097391,8,733,741,0.006513
18,kacific,,7,0.000193,3,0.367653,0.388274,1369.95005,3,130,133,0.009195
19,INTELSAT,,7,0.00237,3,0.408351,0.454184,18159.641419,20,456,476,0.007435
20,Hispasat,,7,0.000194,3,0.374028,0.392821,1141.747987,5,80,85,0.030864
21,SpaceForceCSO,,6,0.002686,3,0.392365,0.418352,3216.002567,19,154,173,0.038492
22,Erdayastronaut,,4,0.002492,3,0.433366,0.468396,6053.600089,14,309,323,0.026383
23,eshailsat,,7,0.000195,3,0.359731,0.371423,130.063192,3,22,25,0.112648
24,SecAFOfficial,,6,0.002469,3,0.378074,0.409354,4007.505446,13,265,278,0.01641
25,Arabsat,,7,0.0002,3,0.378538,0.397558,802.547011,4,71,75,0.044521
26,dearmoonproject,,4,0.000213,3,0.336587,0.338357,0,4,3,7,0.7
27,yousuck2020,,4,0.00026,3,0.341543,0.346051,116.717077,8,11,19,0.195238
28,VicGlover,,4,0.0028,3,0.418623,0.457713,8237.23271,19,354,373,0.021179
29,JimBridenstine,,4,0.003133,3,0.459019,0.497711,24015.146996,44,432,476,0.023635
30,NASA_TESS,,4,0.002407,3,0.368532,0.384968,846.029354,15,61,76,0.128841
31,30thSpaceWing,,6,0.002464,3,0.37991,0.399275,1331.611902,14,73,87,0.100649
32,InmarsatGlobal,,7,0.00224,3,0.429813,0.495358,24125.286516,11,783,794,0.002062
33,NatReconOfc,,6,0.002471,3,0.404257,0.431737,3094.651276,14,168,182,0.033471
34,IridiumBoss,,7,0.000195,3,0.409851,0.446585,8338.229915,8,313,321,0.006369
35,iafastro,,0,0.000196,3,0.468078,0.510206,7100.251972,10,518,528,0.01366
36,sslmda,,7,0.002341,1,1,1,3.287745,15,1,16,0.408333
37,Astro_CabanaBob,,4,0.002371,4,0.337106,0.356829,270.865862,14,51,65,0.180791
38,SMC_CC,,6,0.000198,3,0.369207,0.385985,323.812066,8,64,72,0.089534
39,SES_Satellites,,7,0.002243,3,0.432473,0.490048,17761.358407,14,662,676,0.002916
40,BigelowSpace,,4,0.002348,3,0.458818,0.487886,3482.282705,15,280,295,0.041731
41,NASA_LSP,,4,0.002556,3,0.399208,0.424997,3918.412806,23,144,167,0.079601
42,ORBCOMM_Inc,,7,0.000194,3,0.415636,0.452753,6358.953393,6,321,327,0.007211
43,AstroBehnken,,4,0.003133,3,0.346991,0.354604,215.361752,34,25,59,0.333333
44,IridiumComm,,7,0.002321,3,0.41465,0.456569,11396.752339,14,396,410,0.006494
45,Hyperloop,,2,0.000244,3,0.339047,0.344239,1525.585443,9,39,48,0.034884
46,AF_SMC,,6,0.002446,3,0.405226,0.436093,2465.15791,11,221,232,0.026884
47,SpaceForceDoD,,6,0.002937,3,0.458698,0.504896,26659.505757,28,549,577,0.010474
48,POTUS,,6,0.003709,5,0.299133,0.316409,6206.405071,19,33,52,0.094388
49,Eutelsat_SA,,7,0.002227,3,0.377448,0.401755,3491.504011,11,157,168,0.017867
50,waitbutwhy,,2,0.000203,3,0.370564,0.39724,4236.958576,5,215,220,0.007808
51,DARPA,,6,0.002637,3,0.459341,0.525372,26881.273872,15,863,878,0.003761
52,USCG,,6,0.002514,4,0.308426,0.33602,1803.734601,11,131,142,0.025649
53,Space_Station,,4,0.004395,3,0.407177,0.437428,8827.172339,57,211,268,0.0651
54,hawthorneCAL,,1,0.000191,3,0.337171,0.340233,315.332493,1,19,20,0.005848
55,ISS_CASIS,,1,0.002607,3,0.502589,0.556149,31409.680024,31,856,887,0.00929
56,SpaceXJobs,,4,0.000198,3,0.397422,0.417207,947.378942,4,51,55,0.125181
57,WhiteHouse,,6,0.003365,6,0.230387,0.23837,216.751314,24,11,35,0.254011
58,DeptofDefense,,6,0.003365,4,0.356866,0.399498,13342.915842,25,310,335,0.01239
